id,title,company,description,industry_of_company,summary_of_applicant
13,Senior Portfolio Manager. Vice President & Portfolio Manager,BMO Nesbitt Burns. BMO Nesbitt Burns Inc.,,,"These postings are my own and do not necessarily reflect BMO’s position or viewpoints.  The information herein is for Canadian residents only, and does not constitute any financial, legal, tax, investment or other advice. Please do not post any personal or confidential information on this site. Should you wish to discuss your personal financial circumstances please contact us directly. Endorsements/recommendations should not be construed as explicitly or implicitly approved by the BMO Nesbitt Burns or the Investment Advisor. Previous results are not indicative of future results. Member-Canadian Investor Protection Fund and Member of the Investment Industry Regulatory Organization of Canada http://www.bmo.com/nesbittburns/popups/about-us/disclaimers"
14,Intern. Marketing Intern. Software Developer. Software Engineer,Baxter International Inc.. Hackedemist. IntACT Internet Private Limited. Raja Software Labs,"Built an Android app to help students prepare for competitive exams.. Currently working on the LinkedIn iOS project to provide help required in resolving functional and technical issues.Earlier worked on Vida Healthcare project.. Digital Marketing Internship for NEAROO app. Worked in the Renal Software department at R&D center of Baxter, Bangalore. Developed code fixes and enhancements related to user interface of AK98 HemoDialysis machine for inclusion in future software releases.",,
15,"Assistant Professor and Medical Physicist. Associate Professor. Postdoctoral Research Fellow. Professor. Professor, Chief of Medical Physics Division. Professor, Director of Medical Physics Division. Research Assistant","Department of Physics, Peking University, Beijing, China. Department of Physics, UCLA. Department of Radiation Medicine and Applied Sciences, UCSD. Department of Radiation Oncology and Molecular Radiation Sciences, Johns Hopkins University. Department of Radiation Oncology, UCSD. Department of Radiation Oncology, University of Texas Southwestern Medical Center",". Conduct research on disorder systems using advanced numerical algorithms, such as Monte Carlo simulation, and PDE computation.. Research mainly on nonlinear disorder dynamical systems by PDE simulation. I also did researches on some interesting systems, for example simulating the spread of disease in the network representing the real world.",,"Specialties: Numerical and analytical skills, C, C++ and Fortran, Expert in Monte Carlo simulations, high-performance computing"
18,Investment Banking Analyst. Senior Portfolio Manager and Senior Investment Advisor. Vice President & Portfolio Manager,National Bank Financial. TD. TD Wealth Private Investment Advice,,,"Cameron Murton works as an Investment Advisor with TD Wealth Private Investment Advice. Cameron has extensive experience in finance having begun his career in Investment Banking with a Big 6 Canadian bank, where he assisted several multi-national companies to raise capital and identify potential mergers and acquisitions. The financial analysis skills developed in this role have allowed Cameron to build a knowledgeable understanding of the financial markets. With this experience, Cameron joined TD Wealth Private Investment Advice in order to provide investment strategies and navigate individual, corporate and institutional investors through potential investment and financial planning decisions.Cameron uses his investment expertise to develop diversified, comprehensive and personalized investment portfolios and financial plans to participate in gains while reducing downside risks and taxes. Cameron understands that clients want an investment advisor who takes into account how clients feel and combines it with w"
20,Accounting Bookkeeper. Accounting Manager. Accounts Payable Manager / Treasurer. Bookkeeper (Accounting & Systems co-coordinator),Middleton & Company Insurance. Platinum Group Security. Rafanello Group LLC (Ran-R). SOS Security LLC,,,AVTECH USA - New Jersey Computer Training School ... certificate in MS Office/Excel Certified/Updating Accounting Principals/Certified in QuickBooksExperience with SAGE / GREAT PLAINS / EXCEL / WORD
21,Small Business Owner. Staff Accountant,"DH Accounting Services. Thill & Associates, CPA",Accounting/Bookkeeping Services QuickBooks Training & Consulting Sales Tax Reporting Payroll Services Income Tax Preparation,,
24,"Investment advisor, Associate Portfolio Manager, Associate Director, Regional Bus Dev Manager. Senior Portfolio Manager. Vice President & portfolio Manager",Raymond James Ltd.. RBC Dominion Securities. Scotia McLeod Inc,". International and domestic Wealth Management, Discretionary and Advisory investment services and solutions. World wide client base spanning from Asia, Middle East, Europe, Russia, UK, North AMerica and South America. Resposible for maintaining investment discipline for GMPR RBC DS. Portfolio management for Clients, and developing advisory practices within ScotiaMcLeod for the eastern region.",,"I advise clients on a broad range of planning and portfolio strategies, including cross border services. As a Portfolio Manager for Raymond James, I specialize in portfolio construction and  management as well wealth planning, working with my clients to design a clearly written Investment Policy Statement and to establish risk and return parameters.Disclaimers:Raymond James Ltd. http://bit.ly/1nspoNn Raymond James (USA) Ltd. https://bit.ly/2OBLFt9/*********/Raymond James Ltd. Social Media disclaimer: http://bit.ly/1nspoNnRaymond James (USA) Ltd. is a member of FINRA/SIPC. Raymond James (USA) Ltd. advisors may only transact business with residents of the states and/or jurisdictions for which they are properly registered. Investors outside the United States are subject to securities and tax regulations within their applicable jurisdiction that are not addressed on this site. www.rjlu.com"
26,Business Devloper chez Kyubee. CEO. LILLY FRANCE. Spécialiste Business Solutions,Doobaline. Eli Lilly and Company. Freelance. Kyubee,". Doobaline a élaboré une gamme de soins intensifs qui nourrissent et assouplissent la fibre capillaire, spécifiquement dédiée aux cheveux secs, à très secs.100% certifiée bio par Ecocert et fabriquée selon la charte Cosmebio et dont certains ingrédients sont issus du commerce équitable comme : - l’huile de Baobab- l’huile de Moringa et- le beurre de Cupuaçu- le beurre de Karité La combinaison de ces actifs associés à l’extrait d’artichaut qui est un conditionneur capillaire naturel,  et à l’hamamélis offre des produits d’une qualité exceptionnelle.Doobaline propose une gamme exclusive de soins BIO spécifiquement dédiée aux cheveux secs, à très secs, 100% certifiée BIO par ECOCERT à l’efficacité immédiatement perceptible, aux parfums raffinés et aux textures velours. La gamme Doobaline se décline en 5 produits : le shampoing, l’après-shampoing, la crème leave-in, la lotion capillaire et le baume réparateurVéritable alternative aux cosmétiques chimiques et au",,Créatrice de la marque DoobalineLa gamme a été lancée le 11 septembre 2012 au Beyond Beauty lors du Cosmeeting Color ; Nouvel espace dédié aux beautés du monde.Tous les produits de la marque sont disponibles sur : www.doobaline.comet www.facebook.com/Doobaline
30,"Continuing Education Lecturer - Investment Strategies. Investment Executive. Portfolio Manager, Investment Advisor. Senior Management. Senior Portfolio Manager",Mount Royal University. Raymond James Ltd.. RSA. Scotia McLeod. TD Wealth Private Investment Advice,". 'Providing advanced solutions for the unique wealth needs of successful business owners, professionals, executives and the people that are most important to them.'Our Practice is based on the values of 'Trust, Integrity, and Service'.Our Process provides:Customized Planning Each plan and portfolio is tailored to individual clients’ (personal and corporate) unique goals, time horizon, risk tolerance, and experience.Consistency and CommunicationWe have a disciplined, actively managed investment process that is monitored almost daily.  Our clients are contacted when there are material changes in the investment climate that may affect their portfolio. Cost and Tax EfficiencyMajority of my clients participate in our Viridian program effectively aligning with my client's best interests. It is in our shared best interest to make good decisions. Costs are completely transparent and potentially tax deductible.Our Client ExperienceMy team conducts an independent blind, biannual survey on our Communication, Service,",,Over 20 years experience in the financial services industry. I help people. We help client's ensure the product of their life's efforts are secure and productive.This helps allow them to enjoy the lifestyle they have earned .We are dedicated to preserving and growing our clients' net worth./*********/http://bit.ly/1nspoNn
31,Billing Manager. Office Manager. Project Manager,"LePatner & Associates, LLP. UHY Advisors. WNET.ORG","• Manage the office and all day-to-day activities internal and external• Collaborate in the execution of various HR and accounting aspects, including accounts payable and receivable, billing, deposits, reconciliations, and related functions• Supervise the maintenance of inventory of materials, supplies, and related items to minimize disruptions and inefficiencies• Maintain client and vendor records and related information• Create and manage attendance tracker for all employees• Assist partners with duties as assigned to facilitate efficient client operations including light paralegal work• Provide support to project manager including creating and managing schedules and contacting subcontractors• Set up conference rooms for meetings and ordered catered breakfasts and lunches                                       Show less. Billing Manager/Accounts Receivable Manager (1/07 – 12/10)• Managed and operated complete billing process• Assured timely and accurate invoicing• Entered all fees and",,
32,Human Resources Executive. Human Resources Intern. Placement Coordinator. Senior Associate Talent Acquisition. Talent Acquisition Specialist,Blenheim Chalcot India. DCB Bank. InnoServ Digital. Ramachandran International Institute Of Management (RIIM Pune),". -Handling end to end recruitment for DCB bank.-Understanding the requirement in details.-Sourcing profiles from naukri.com-Sourcing and Screening of CVs-Interviewing and short-listing potential candidates.-Scheduling the interviews of short-listed candidates with the stakeholders.-Following up with prospective candidates until they complete all rounds of interviews.-Coordinating with stakeholders and interacting with them regarding candidate joining.-Effective maintenance of the database.                                       Show less. I was a part of placement team at Ramachandran International Institute of Management, Pune My Responsibility includes 1. Corporate Relations2. Arranging guest sessions3. Handling placement processI was in continuous dialogue with senior business leaders (HR, Directors, TA Heads, MD's)I was also responsible for managing end to end placement activities.",,"7,000+ Connections I Sourcing Fanatic l Recruitment Enthusiastic Associated with Blenheim Chalcot IT Services, Mumbai office. Blenheim Chalcot (BC) is the UK’s leading digital venture builder. We build tech start-ups to transform industries. We invest more than just funds, we invest our knowledge and experience, our ideas and our infrastructure. Our ventures are at the forefront of several sectors including FinTech, EdTech, Media and more. We are the Co-owners of Rajasthan Royals.It is a cohesive group, and we have a strong culture built around curious, engaging and innovative people. Working alongside entrepreneurs and co-founders, we support our ventures from start-up to scale to exit, giving them access to the global networks and services they need to grow.Currently hiring for UK Ventures - Modulr, Fospha, EnglishScore, Salary Finance, Agilisys, Healthapp, and Researcher in the area of IT professionals.Feel free to reach out to me at Priyanka.Nimase@blenheimchalcot.com"
33,Assistant Professor. Associate Professor. Graduate Research Assistant. Instructor. Mathematical Statistician. Professor. Teaching Assistant,"Morehouse School of Medicine. U.S. Army Research Institute of Environmental Medicine. UAB Medicine. University of Cincinnati. University of Kentucky. University of Miami,  Miller School of Medicine","My responsibilities generally include teaching, research, and service. My primary role is to serve as a collaborative biostatistician. A few specific roles that I have include serving as Director of the UAB Center for Clinical and Translational Science (CCTS) Biostatistics, Epidemiology, and Research Design (BERD) Program and Director of the UAB CCTS Biostatistics Clinic. I provide statistical support for research projects initiated by UAB faculty members, postdocs, fellows, residents, and students. This support includes assistance with study design, database design, statistical analysis, and abstract, poster, and manuscript preparation. I also provide educational opportunities, such as lectures and workshops, for this group of learners. I am located in Division of Preventive Medicine, which is in the Department of Medicine.                                       Show less. My responsibilities included providing statistical support to biophysicists and physiologists for their research projects and manuscripts ",,"I am a Professor in the UAB Division of Preventive Medicine, which is located in the UAB Department of Medicine. My specialty area is biostatistics. I have more than 30 years of experience in statistical data analysis and consultation in medical and public health research. My statistical consulting experience spans university, government, and contract research organization settings. I provide statistical expertise and extensive statistical support for various research projects in a wide variety of clinical and translational research areas (such as nutrition/diabetes/obesity, cancer, cancer survivorship, cystic fibrosis and other pulmonary research, urology, nephrology, and outcomes research) for grant and manuscript preparation, and for doctoral students in several health-related areas such as clinical nutrition, nursing, microbiology, human studies, occupational and physical therapy, and biostatistics. I also offer educational opportunities to faculty, trainees, and students. I have taught graduate- and unde"
34,Accounts Payable Manager,G4S SECURE SOLUTIONS USA,,,Enjoy assisting others. Brainstorming for new ideas. I am a people person. I like taking on new challenges. One of my accomplishments was implementing a new T&E system for our employees to get reimbursed back electronically. I am currently involved in implementing a full system for our invoices to route through electronically for payment. Enjoy problem solving to assist our field offices with their issues.
35,Engineering Technician. Radio Technician. Senior Technician (FTS),British Army. Network Rail. Thales,"1st and 2nd Line  Class 1 Radio Technician.Royal Corps of Signals.Installation, servicing, repairing, and engineering of a variety of HF, VHF, and UHF radio, associated telecommunications, IT equipment & systems. Systems control and engineering duties involving technical liaison with other units and agencies. Ensuring the work of subordinates is carried out satisfactorily. Planning and supervising the training for subordinate technicians. This work required knowledge of electronics and communications principles as well as practical experience of deployment techniques associated with the equipment in both static and mobile roles.  Many of these systems were software dependent.This work was conducted worldwide in difficult environmental and hostile areas, often in unstable military conditions.                                       Show less. Enabler of the Digital Railway. TMT&FIP certified and IRSE Licensed 2.4.160National roll out of the Fixed Telecommunications Network (FTN).STM16 Core Network with overlaid ",,"A wealth of experience gained in various fields including, installation, servicing, repairing and engineering radio and associated telecommunications and IT equipment in support of the British Armed Forces and HM Government nationally and worldwide.Also experienced in Rail environment as a Telecomms Maintainer & Fault Finder on both London Underground and Network Rail."
38,Design Engineer. Head of Product Design. Owner. Product Owner | e-Commerce. Project Consultant. Project Management Intern. Senior Engineer | Vehicle Integration Team Lead. Senior Product Owner | e-Commerce. Tribe Lead - Post-Purchase Product | e-Commerce,Ather Energy. Etergo. Hilti Group. Netra Design. PayGo Energy. Tvilight BV. WonderBoxx,". Awarded STW Valorisation Grant to evaluate market feasibility of a portable reader for the blind (masters thesis) - hired three part-time employees to evaluate business case and build new functional prototype. The team worked on developing reading aids for the visually impaired and consulting companies in the sector.. Etergo is developing e-Scooter for the European market. Implemented internal process improvements, product development roadmap with stakeholders and analysed ERP solutions.. Led multi-disciplinary team of designers, electrical, test engineers; and worked as system integrator between engineering and design teams to ensure delivery of a functional end-product - Ather 450X India's first smart electric scooter. Additionally, co-ordinated sprint planning and internal documentation.. PayGo Energy focusses on providing access to affordable, clean cooking gas in low income neighbourhoods. Proposed hardware solutions to achieve higher customer location accuracy on digital app (cooking gas delivery), ta",,"Product Owner with ten years of international experience in leading cross-functional teams across digital e-Commerce, education, automotive and power tool industries delivering functional product-service systems - with a strong background in digital innovation, product design, prototyping, design thinking and project management.Also, I love creating artwork in my free time: https://www.instagram.com/amgudday/"
40,Advisor Capacity Development. Beraterin internationale Zusammenarbeit. Consultant for non profit organizations. Project Assistant. Project Coordinator. Project Officer International Cooperation,Brot für die Welt. Cooperativas de las Americas. finep - forum für internationale entwicklung + planung. Freiberuflich. Hedwig und Robert Samuel Stiftung. Kindernothilfe e.V.,". Monitoring und Evaluierung, Projektdesign",,"Experienced project coordinator, project manager and advisor. With a focus on international development cooperation projects in the non-profit sector (NGOs and Cooperatives) as well as different consultancy services for non profit organizations."
41,Fachdienstleitung Bereich Migration. Projektleiterin Faire Integration und freier Coach. Studienberaterin und freier Coach,Brandenburgisch Technische Universität Cottbus-Senftenberg. Caritas. Caritas Region Cottbus,. Projektleiter in Faire IntegrationBrandenburg und freier Coach,,"Außergewöhnliche Leistungen entstehen nur, wenn ich das was ich tue liebe!"
45,Cardiologist. Cardiologist i.t.. lid Medezeggenschapsraad. Lid van raad van bestuur Stichting Cardiologie Centra Nederland. PHD Candidate,AMC - Academisch Medisch Centrum. Cardiologie Centra Nederland. Erasmus MC. Montessorischool De Eilanden. OLVG. Rode Kruis Ziekenhuis. UZ Brussel,. Thesis title: ‘Digital remote monitoring  in adult congenital heart disease patients: lessons learned and recommendations’,,Cardiologist Rode Kruis Ziekenhuis Beverwijk and Cardiologie Centra Nederland
48,Customer Service Manager. Qualified Driver Recruiter,Werner Enterprises,"Managed as a single point of contact for the Northeast Region of the United States as well as several dedicated customers.  Negotiate with customers for capacity and freight for the company.  Manage freight to ensure on time delivery and act as a liason for Werner with customers in the Northeast Region.. Sell Werner Enterprises to prospective drivers and place them in Werner's dedicated, specialized service and general fleet.",,
49,Assistante puis responsable d'agence. Commercial débutant. Enquêtrice. Responsable régionale des ventes. Télémarketing,Conseil & Finance. Laboratoire de prothèses oculaires. MC marketing. MENICON FRANCE SAS. WIIO,"Accueil et vente des lentilles de contact aux clients, formation à leur entretien, gestion informatique des commandes, livraison dans les cabinets d'ophtalmologie.. Commercialisation B to B sur 15 départements. Développement d'un portefeuille de 1000 clients. Négociations auprès de centrales d’achat en optique.Formations  auprès des prescripteurs de lentilles de contact. Tutorat des délégués juniors par des tournées accompagnées.Suivi d'études cliniques avec les ophtalmologistes de l'Occitanie. Organisation d'évènements spécifiques. Congrès.. Développement du fichier clients national auprès des Directeurs des Services Informatiques d'entreprises de divers secteurs d'activité. Echanges avec les commerciaux sur les dossiers des nouveaux clients.. Mener les enquêtes professionnelles pour l'ADRAR auprès des Responsables des entreprises du secteur Logistiquede la France entière.. Prospection téléphonique et terrain pour des produits de placement à support immobilier locatif",,
51,Water Consulting Engineer (long-term intern). Water Process Engineer (VIE),OTV (Veolia). Seureca (Veolia),"Main assignments abroad:GABON (Africa) for 2 months : 'Technical assistance to Société d'Eau et d'Energie du Gabon (SEEG)'- Updated the hydraulic model of the water supply network in Libreville (WaterCAD)- Carried out simulations on the hydraulic model and defined the emergency works needed on the water supply network to tackle water shortages in specific areas MOLDOVA (Eastern Europe) for 6 months : 'Chisinau Water Supply and Sewage Treatment Feasibility Study' (funded by EBRD)- Collected and analyzed data (including site visits and interviews)- Constructed the basis of the hydraulic model of the sewerage network (Infoworks)- Assisted the measurement campaign on the sewerage network- Sampled and analysed wastewater and sludge at Chisinau wastewater treatment plant                                       Show less. Operation & Maintenance - Az Zour South Reverse Osmosis Desalination Plant (capacity: 30 MIGD - 136 000 m3/day)- Monitored, collected, analyzed and managed daily operational data for the prompt ide",,
52,BTS Force de vente en alternance. conseillere commerciale experte,AXA. GROUPE PREVOIR,". Conseillère commerciale et tutrice de 2007 à 2016Obtention du trophée limra 2011 2012 2013 2014 2015 2018 2019Podium Or 2019 Plusieurs challenges relevé séminaireTunisie, Sicile, Las Végas, Ecosse, Guadeloupe, Laponie, Islande, île de la Réunion, Mexique, Islande",,Conseillere commerciale depuis 2003
53,Digital Product Owner. Process Commissioning Engineer. Research and Development Intern. Research Intern,"Green Chemistry Centre of Excellence, University of York. Veolia Eau Direction Technique. Veolia Water Technologies. Veolia Water Technologies UK","Bibliographic researches.Setting up a protocol for the synthesis of biosurfactants by esterification of sugars and fatty acids. Enzymatic catalysis.. Experience in drinking and sewage water, municipal and industrialPilot plant trialsJar testingFull scale plants commissioning and refurbishmentWriting of articles, method statements, risk assessments and procedures. Product Owner for Insight, a digital tool based on data driven analytics and proprietary artificial intelligence powered by Veolia process expertise.'Insight provides our clients with a reliable and user-friendly decision tool that unlocks the full value of their plant data and helps them optimize their processes and operations'. Study on the elimination of Organic Matter using a Powder Activated Carbon reactor combined with a decantation device. Starting up and optimization of a research pilot unit. Project Management. Exploitation of the water treatment plant with Actiflo Softening ® process and chemical analysis",,
54,Chargée de mission Développement Durable. Ingénieure Etudes - SMQ. INGÉNIEURE ETUDES ET SMQ. Ingénieure Méthodes et Performance. Process and Method Engineer. Quality & Environment Engineer. Research Engineer. Responsable Maîtrise des Risques,"AZALIYA ( A Veolia and Mubadala company). GINKEO, filiale de VEOLIA EAU dédié au nucléaire. Gwangju Institute of Science and Technology - GIST. VEOLIA EAU - COMPAGNIE GENERALE DES EAUX. Veolia Eau Banlieue de Paris. Veolia Industries Global Solutions. Veolia Middle East. Veolia Nuclear Solutions","Attendee to an International Programme for the Environment and Sustainable Development in collaboration between GIST and UNU (United Nations University)Research Topic: 'Effect of an agent pesticide (chlordane) on a process of wastewater treatment plant (nitrification)'. Contrat industriel de gestion du cycle de l'eau (exploitation et maintenance en production et distribution d'eau potable, industrielle, déminéralisée / collecte et traitement des eaux usées / gestion du réseau pluvial) :- Assurer la prévention santé sécurité auprès de l'équipe (10 personnes)- Relation et reporting contractuel- Assistance à l'exploitation. En charge de l'organisation QSE-RP dans le domaine de la dépollution et du traitement des déchets radioactifs. Project management :    -  Pilotage de la réalisation de mémoires techniques en soutien des équipes en charge des réponses à AO (clients industriels)    -  Certifiée Greenpath pour la réalisation d'empreintes carbone et eau (clients municipaux et industriels, sec",,"Polyvalence et adaptabilité sont les maîtres-mots de mon profil.Spécialisée dans la gestion des systèmes de management de la Qualité, de l'Environnement, de la Sécurité et de la Radioprotection dans le domaine du traitement de l'eau, mon expérience du terrain est multiple.J'ai ainsi participé à la construction du volet Développement Durable lors de l'Appel d'Offre du SEDIF en 2010. J'ai, par la suite, managé la mise en place des SMI (Système de Management Intégré) sur les contrats de la zone Moyen-Orient et j'ai secondé le responsable d'exploitation pour la conduite de l'usine de dessalement de Fujaïrah. J'ai managé les sujets QHSE et radioprotection dans le milieu industriel et en particulier nucléaire. Je suis actuellement en charge de la performance et du QSE sur un contrat industriel de gestion du cycle de l'eau, dans la Région Méditerranée."
